Coordinate with (x, y) and the corresponding hit counts

(-36.38596635, 148.84645611) => 73

(-33.75379065, 151.29704833) => 46

(-33.6167, 150.817) => 40

(-37.0667, 149.9) => 32

(-36.3667, 148.833) => 24

(-36.93110107, 149.87290142) => 21

(-36.9, 149.9) => 20

(-33.61459, 150.81334) => 17

(-36.9, 149.233) => 14

(-34.4333, 148.733) => 14

(-36.4167, 150.05) => 13

(-33.63857815, 150.79984402) => 13

(-33.85678499, 151.21528387) => 11

(-33.7, 150.55) => 11

(-33.8848, 151.226) => 11

(-33.5, 150.38333333) => 10

(-37.17861111, 149.98222222) => 10

(-33.815171, 151.009996) => 10

(-36.2333, 149.133) => 9

(-36.50421, 148.83459) => 9

(-33.86, 151.211) => 9

(-33.63796992, 150.79586677) => 8

(-36.407189, 150.0546115) => 8

(-33.8833, 151.225) => 8

(-36.4167, 148.333) => 8

(-33.87111111, 151.21333333) => 8

(-37.10338, 149.8801) => 7

(-33.608134, 150.7884737) => 7

(-33.6054276, 150.8226541) => 7

(-33.58625505, 150.85934191) => 6

(-33.6, 150.767) => 6

(-36.8333, 149.367) => 6

(-33.8167, 151.0) => 6

(-33.51530863, 150.58197069) => 5

(-37.26139167, 150.04932778) => 5

(-36.2463268, 149.0776806) => 5

(-37.0818, 149.8846) => 4

(-33.87769, 151.21668) => 4

(-34.438868, 148.717484) => 4

(-34.43631, 148.71716) => 4

(-33.55372, 150.6670399) => 4

(-33.74583507, 150.85359124) => 4

(-33.88491, 151.20185) => 4

(-33.53911051, 150.42278614) => 3

(-37.15, 149.867) => 3

(-37.0485, 149.91789) => 3

(-37.12645, 149.94584) => 3

(-36.6667, 149.833) => 3

(-33.60973, 150.8074) => 3

(-34.78226, 149.26786) => 3

(-36.3768929, 148.57796894) => 3

(-33.87078743, 151.21105825) => 3

(-33.8403759, 151.1826651) => 3

(-34.9123, 143.332) => 2

(-36.89478528, 149.89486316) => 2

(-33.60805, 150.81902) => 2

(-33.86074034, 151.21069483) => 2

(-33.5667, 150.833) => 2

(-33.55555304, 150.79724127) => 2

(-34.3167, 148.3) => 2

(-33.8667, 151.225) => 2

(-36.5167, 149.283) => 2

(-35.95, 149.15) => 2

(-35.8205688, 148.36633106) => 2

(-36.41057498, 148.40467789) => 2

(-33.5893, 150.711) => 2

(-33.4167, 150.783) => 2

(-33.84828264, 151.21210854) => 2

(-33.882332, 151.2057286) => 2

(-33.88410698, 151.21043953) => 2

(-33.87947799, 151.21528034) => 2

(-33.89334, 151.20461) => 2

(-33.87387709, 151.20651103) => 2

(-33.89414, 151.12931) => 2

(-33.85666667, 151.215) => 2

(-33.70322602, 151.27297028) => 2

(-36.89413993, 149.91848946) => 2

(-33.87191, 151.2068651) => 1

(-37.10270646, 149.95316355) => 1

(-33.60904727, 150.6965296) => 1

(-33.6106, 150.791) => 1

(-33.8833, 151.1) => 1

(-33.0333, 149.417) => 1

(-33.57042832, 150.85292041) => 1

(-34.05538794, 150.69413303) => 1

(-34.0492532, 151.0470444) => 1

(-35.9167, 150.083) => 1

(-35.91096, 150.0802799) => 1

(-33.87290529, 151.22499908) => 1

(-33.86919734, 150.93484285) => 1

(-33.60983, 150.75437) => 1

(-33.5528534, 150.82913568) => 1

(-33.75, 150.7) => 1

(-33.55, 150.66666667) => 1

(-34.75, 149.717) => 1

(-37.07189878, 149.90994667) => 1

(-36.25026497, 149.07839868) => 1

(-36.4167, 148.633) => 1

(-36.41472508, 148.61656186) => 1

(-33.53593112, 150.87382182) => 1

(-33.61040821, 150.82002856) => 1

(-35.25811083, 149.14203169) => 1

(-33.87501, 150.6888899) => 1

(-32.8152, 151.4346) => 1

(-33.84371259, 151.2083274) => 1

(-33.64685425, 150.85893992) => 1

(-33.7167, 150.867) => 1

(-33.8718, 151.09433056) => 1

(-33.81770833, 151.00556944) => 1

(-33.87431167, 151.21159825) => 1

(-33.60988166, 150.81609736) => 1

(-33.75, 150.667) => 1

(-33.615, 150.828) => 1

(-33.84197805, 151.18059962) => 1

(-33.8868, 151.2024) => 1

(-36.89419875, 149.91751069) => 1

(-36.89515365, 149.92424477) => 1

(-35.28013993, 149.11965634) => 1
